Subject	Gender	Age
10074	Female	19
10022	Male	20
10018	Female	26
10102	Female	18
10024	Male	21
10095	Female	20
10140	Male	19
10110	Male	19
10050	Female	22
10048	Female	21
10134	Female	32
10151	Female	20
10104	Male	18
10152	Female	22
10107	Female	26
10028	Female	18
10109	Female	19
10088	Female	21
10115	Female	26
10012	Female	19
10026	Female	19
10125	Female	20
10011	Male	25
10019	Male	20
10005	Male	19
10131	Male	18
10150	Female	19
10072	Male	18
10098	Female	23
10004	Female	18
10149	Female	19
10007	Male	18
10040	Female	33
10076	Male	18
10016	Female	19
10041	Male	28
10051	Male	22
10118	Female	21
10124	Male	19
10155	Female	18
10047	Male	28
10138	Male	18
10046	Female	19
10039	Male	26
10154	Female	18
10116	Male	18
10029	Male	23
10013	Female	18
10119	Male	19
10127	Female	20
10148	Female	20
10106	Male	20
10015	Female	19
10037	Female	21
10023	Female	20
10056	Male	21
10136	Female	19
10083	Male	19
10008	Male	18
10042	Male	22
10075	Male	18
10003	Male	18
10097	Female	19
10144	Male	18
10117	Male	21
10114	Male	21
10141	Female	19
10010	Female	18
10133	Female	20
10145	Male	20
10130	Male	19
10093	Female	19
10099	Male	23
10101	Male	18
10103	Male	18
10121	Female	19
10020	Male	19
10111	Female	19
10002	Male	19
10142	Female	18
10108	Male	18
10129	Female	19
10132	Female	18
10147	Male	19
10038	Female	21
10054	Male	19
10082	Male	25
10027	Female	21
10085	Female	21
10084	Female	20
10014	Female	19
10122	Female	19
10045	Female	20
10009	Female	21
10073	Male	19
10112	Female	19
10135	Male	21

